Pasta,881,g,Bakery,Room-temperature,2022-3-24
Pasta,221,g,Bakery,Room-temperature,2022-2-10
Pasta,534,g,Bakery,Room-temperature,2020-12-14
Flour,713,g,Bakery,Room-temperature,2022-12-17
Flour,600,g,Bakery,Room-temperature,2020-8-21
Flour,713,g,Bakery,Room-temperature,2021-6-7
Bread,6,qty,Bakery,Room-temperature,2021-6-15
Bread,10,qty,Bakery,Room-temperature,2022-3-1
Bread,14,qty,Bakery,Room-temperature,2020-8-12
Rice,794,g,Bakery,Room-temperature,2020-9-19
Rice,971,g,Bakery,Room-temperature,2022-9-16
Rice,537,g,Bakery,Room-temperature,2021-1-13
Coffee,693,g,Drinks,Room-temperature,2020-8-2
Coffee,843,g,Drinks,Room-temperature,2021-9-5
Coffee,629,g,Drinks,Room-temperature,2020-6-9
Tea,237,g,Drinks,Room-temperature,2022-4-6
Tea,847,g,Drinks,Room-temperature,2020-3-10
Tea,299,g,Drinks,Room-temperature,2020-6-24
Salad dressing,788,g,Condiments,Fridge,2021-12-17
Salad dressing,764,g,Condiments,Fridge,2021-11-2
Salad dressing,174,g,Condiments,Fridge,2020-9-21
Peanut Butter,25,g,Condiments,Fridge,2021-9-19
Peanut Butter,93,g,Condiments,Fridge,2021-12-11
Peanut Butter,160,g,Condiments,Fridge,2022-4-23
Chicken,299,g,Meats,Fridge,2021-11-13
Chicken,386,g,Meats,Fridge,2022-4-20
Chicken,490,g,Meats,Fridge,2021-9-14
Corn,837,g,Vegetables,Fridge,2021-9-1
Corn,677,g,Vegetables,Fridge,2020-10-13
Corn,519,g,Vegetables,Fridge,2022-10-17
Green beans,364,g,Vegetables,Fridge,2020-3-16
Green beans,425,g,Vegetables,Fridge,2021-7-24
Green beans,852,g,Vegetables,Fridge,2021-8-27
Peanut Butter,922,g,Condiments,Fridge,2020-5-12
Peanut Butter,102,g,Condiments,Fridge,2021-5-24
Peanut Butter,666,g,Condiments,Fridge,2021-2-21
Milk,352,g,Dairy Products,Fridge,2020-3-20
Milk,479,g,Dairy Products,Fridge,2022-10-22
Milk,647,g,Dairy Products,Fridge,2022-9-13
Egg,913,g,Egg,Fridge,2020-1-13
Egg,652,g,Egg,Fridge,2021-7-20
Egg,454,g,Egg,Fridge,2022-4-7
Butter,401,g,Dairy Products,Fridge,2021-9-6
Butter,141,g,Dairy Products,Fridge,2022-6-3
Butter,674,g,Dairy Products,Fridge,2021-3-24
Cheese,127,g,Dairy Products,Fridge,2020-5-23
Cheese,60,g,Dairy Products,Fridge,2022-9-25
Cheese,52,g,Dairy Products,Fridge,2020-9-28
Tomato,886,g,Vegetables,Fridge,2022-1-2
Tomato,795,g,Vegetables,Fridge,2021-4-12
Tomato,597,g,Vegetables,Fridge,2022-4-24
Lettuce,581,g,Vegetables,Fridge,2021-2-5
Lettuce,919,g,Vegetables,Fridge,2021-5-10
Lettuce,932,g,Vegetables,Fridge,2021-8-15
Cucumber,578,g,Vegetables,Fridge,2020-8-14
Cucumber,453,g,Vegetables,Fridge,2021-8-1
Cucumber,720,g,Vegetables,Fridge,2021-11-22
Banana,703,g,Fruit,Fridge,2022-2-27
Banana,590,g,Fruit,Fridge,2022-7-10
Banana,889,g,Fruit,Fridge,2020-5-13
Watermelon,354,g,Fruit,Fridge,2020-7-27
Watermelon,525,g,Fruit,Fridge,2020-9-6
Watermelon,592,g,Fruit,Fridge,2022-9-17
Apple,637,g,Fruit,Fridge,2021-2-16
Apple,198,g,Fruit,Fridge,2020-4-2
Apple,155,g,Fruit,Fridge,2020-4-2
Grapefruit,17,g,Fruit,Fridge,2020-11-25
Grapefruit,419,g,Fruit,Fridge,2022-7-17
Grapefruit,737,g,Fruit,Fridge,2021-6-19
Ice cream,489,g,Dairy Products,Freezer,2020-11-10
Ice cream,383,g,Dairy Products,Freezer,2020-9-2
Ice cream,472,g,Dairy Products,Freezer,2020-10-27
Chicken,146,g,Meats,Freezer,2022-12-6
Chicken,787,g,Meats,Freezer,2021-11-23
Chicken,471,g,Meats,Freezer,2021-11-5
